write_design_id,target_model,operation,legacy_contract_id,legacy_project_id,project_id,partner_id,subject,type,legacy_contract_no,legacy_document_no,legacy_external_contract_no,legacy_status,legacy_deleted_flag,legacy_counterparty_text,rollback_key,rollback_key_value,name_policy,tax_policy,state_policy,line_policy,db_write
contract_header_post1000_next200:0001,construction.contract,create_only,c062edacd7944af7a107dd95a0e640be,a3f1efed66944330a8825ac889c5cb86,2609,3666,充电式运输车辆集中充电整改合同补充协议,out,DYS2024-253,WBHTGL-20241205-002,17333811491900000,2,0,中国航发航空科技股份有限公司,legacy_contract_id,c062edacd7944af7a107dd95a0e640be,use_model_sequence_only_after_write_authorization,defer_to_model_defaults_or_later_tax_precheck,create_as_draft_do_not_replay_legacy_workflow,do_not_create_lines,no
contract_header_post1000_next200:0002,construction.contract,create_only,c071f565c8c44de0a1983128d62924f5,ec8e6e03ff4c40cfb4ce25cdddc7474e,2813,5871,庐山北路236号（自建房）苏杉分户工程,out,DYS2022-16-68,WBHTGL-20221117-007,1000000805,2,,德阳市供水安装工程队,legacy_contract_id,c071f565c8c44de0a1983128d62924f5,use_model_sequence_only_after_write_authorization,defer_to_model_defaults_or_later_tax_precheck,create_as_draft_do_not_replay_legacy_workflow,do_not_create_lines,no
contract_header_post1000_next200:0003,construction.contract,create_only,c0bee987ce694f0fbaec4a2eec1f0638,842ab5bb919d45ca9f23040dc3e34050,2518,4763,绵阳市安州区2025年制种大县项目-生产基地设施建设工程,out,MYS2025-199,WBHTGL-20251114-001,17630859155260000,2,0,绵阳市安州区农业农村局,legacy_contract_id,c0bee987ce694f0fbaec4a2eec1f0638,use_model_sequence_only_after_write_authorization,defer_to_model_defaults_or_later_tax_precheck,create_as_draft_do_not_replay_legacy_workflow,do_not_create_lines,no
contract_header_post1000_next200:0004,construction.contract,create_only,c10118c174b34565addc3d9d3113f11e,d673283d7f064228aa3bcdb822c8d425,2741,5788,花都汽车产业基地二期荔红路建设工程勘察设计施工总承包项目K1+980~K3-395.23水稳工程劳务分包,out,GZS2025-151,WBHTGL-20250911-001,17575707584040000,2,0,中建四局第一建设有限公司,legacy_contract_id,c10118c174b34565addc3d9d3113f11e,use_model_sequence_only_after_write_authorization,defer_to_model_defaults_or_later_tax_precheck,create_as_draft_do_not_replay_legacy_workflow,do_not_create_lines,no
contract_header_post1000_next200:0005,construction.contract,create_only,c12393aba6834f3893768861844657dc,ec8e6e03ff4c40cfb4ce25cdddc7474e,2813,5871,“首府.花雨树”新建户表给水工程,out,DYS2021-01-05,WBHTGL-20210120-002,1000000351,2,,德阳市供水安装工程队,legacy_contract_id,c12393aba6834f3893768861844657dc,use_model_sequence_only_after_write_authorization,defer_to_model_defaults_or_later_tax_precheck,create_as_draft_do_not_replay_legacy_workflow,do_not_create_lines,no
contract_header_post1000_next200:0006,construction.contract,create_only,c1333b59d1de471aa6f060282255e0d6,9ebba094a48443a39dd7e1421da8dfbb,2588,4431,德阳市奥林匹克后备人才学校省队市办高水平足球基地食堂燃气报警系统,out,DYS2023-18,WBHTGL-20230308-002,1000000891,2,,德阳文鑫文化体育有限公司,legacy_contract_id,c1333b59d1de471aa6f060282255e0d6,use_model_sequence_only_after_write_authorization,defer_to_model_defaults_or_later_tax_precheck,create_as_draft_do_not_replay_legacy_workflow,do_not_create_lines,no
contract_header_post1000_next200:0007,construction.contract,create_only,c1637761ee1a43f09237bf7ddd1e9620,6b4e37cd90a94055a69de211efdab846,2444,3663,热处理厂-23#炉用水槽轨道改造,out,DYS2024-118,WBHTGL-20240718-001,17212634289810000,2,0,中国第二重型机械集团德阳万航模锻有限责任公司,legacy_contract_id,c1637761ee1a43f09237bf7ddd1e9620,use_model_sequence_only_after_write_authorization,defer_to_model_defaults_or_later_tax_precheck,create_as_draft_do_not_replay_legacy_workflow,do_not_create_lines,no
contract_header_post1000_next200:0008,construction.contract,create_only,c18752c0e6bb4847bd12737dd83e8f12,ec8e6e03ff4c40cfb4ce25cdddc7474e,2813,5871,四川首昂科技有限公司新建总表工程,out,DYS2022-16-53,WBHTGL-20220726-031,1000000728,2,,德阳市供水安装工程队,legacy_contract_id,c18752c0e6bb4847bd12737dd83e8f12,use_model_sequence_only_after_write_authorization,defer_to_model_defaults_or_later_tax_precheck,create_as_draft_do_not_replay_legacy_workflow,do_not_create_lines,no
contract_header_post1000_next200:0009,construction.contract,create_only,c1d2a91ea8054638ba61511ab846d84d,6b4e37cd90a94055a69de211efdab846,2444,5803,炼钢厂参观走道周围环境整治,out,DYS2022-15-15,WBHTGL-20221209-001,1000000835,2,,二重（德阳）重型装备有限公司,legacy_contract_id,c1d2a91ea8054638ba61511ab846d84d,use_model_sequence_only_after_write_authorization,defer_to_model_defaults_or_later_tax_precheck,create_as_draft_do_not_replay_legacy_workflow,do_not_create_lines,no
contract_header_post1000_next200:0010,construction.contract,create_only,c2414d6e346047f19ecaeb9a153dbe87,273ebc3fe2784a59b7a6aee30575081d,2234,4779,涪城区丰谷镇2025年大中型水库移民后期扶持资金项目（中央第一批）,out,MYS2025-121,WBHTGL-20250807-001,17545512485160000,2,0,绵阳市涪城区丰谷镇人民政府,legacy_contract_id,c2414d6e346047f19ecaeb9a153dbe87,use_model_sequence_only_after_write_authorization,defer_to_model_defaults_or_later_tax_precheck,create_as_draft_do_not_replay_legacy_workflow,do_not_create_lines,no
