project_id,name,company,other_system_id
1,旌阳区供水项目——柏隆净水厂,My Company,SCBS:SCBS_GCMC_PROJECT_CANDIDATE:旌阳区供水项目——柏隆净水厂
2,高新产业园配套项目（包2）,My Company,SCBS:SCBS_GCMC_PROJECT_CANDIDATE:高新产业园配套项目（包2）
3,高新产业园配套项目（包3）,My Company,SCBS:SCBS_GCMC_PROJECT_CANDIDATE:高新产业园配套项目（包3）
4,三星堆环线基础设施改造,My Company,SCBS:SCBS_GCMC_PROJECT_CANDIDATE:三星堆环线基础设施改造
5,2023年高标准农田改造提升-东美村,My Company,SCBS:SCBS_GCMC_PROJECT_CANDIDATE:2023年高标准农田改造提升-东美村
6,二重厂西路等4条道路工程,My Company,SCBS:SCBS_GCMC_PROJECT_CANDIDATE:二重厂西路等4条道路工程
7,旌阳区供水项目——柏隆供水管网,My Company,SCBS:SCBS_GCMC_PROJECT_CANDIDATE:旌阳区供水项目——柏隆供水管网
8,澜沧江西路（苗山街-蓥华山路）,My Company,SCBS:SCBS_GCMC_PROJECT_CANDIDATE:澜沧江西路（苗山街-蓥华山路）
9,2024高标准农田建设项目-龙泉村,My Company,SCBS:SCBS_GCMC_PROJECT_CANDIDATE:2024高标准农田建设项目-龙泉村
10,龙泉山路二段(赣江路-信江路),My Company,SCBS:SCBS_GCMC_PROJECT_CANDIDATE:龙泉山路二段(赣江路-信江路)
11,王谊村总平,My Company,SCBS:SCBS_GCMC_PROJECT_CANDIDATE:王谊村总平
12,齐家堰流域（高槐村-桂花村）河段水生态修复项目,My Company,SCBS:SCBS_GCMC_PROJECT_CANDIDATE:齐家堰流域（高槐村-桂花村）河段水生态修复项目
13,玉山街道路工程,My Company,SCBS:SCBS_GCMC_PROJECT_CANDIDATE:玉山街道路工程
14,崴和路滑坡整治工程,My Company,SCBS:SCBS_GCMC_PROJECT_CANDIDATE:崴和路滑坡整治工程
15,德阳市烈士陵园建设项目,My Company,SCBS:SCBS_GCMC_PROJECT_CANDIDATE:德阳市烈士陵园建设项目
16,孝感翠竹街西路改造,My Company,SCBS:SCBS_GCMC_PROJECT_CANDIDATE:孝感翠竹街西路改造
17,面粉厂等小区改造项目,My Company,SCBS:SCBS_GCMC_PROJECT_CANDIDATE:面粉厂等小区改造项目
18,烈士陵园装修项目,My Company,SCBS:SCBS_GCMC_PROJECT_CANDIDATE:烈士陵园装修项目
19,凯江大回湾景区融合提升项目,My Company,SCBS:SCBS_GCMC_PROJECT_CANDIDATE:凯江大回湾景区融合提升项目
20,万润苑改造,My Company,SCBS:SCBS_GCMC_PROJECT_CANDIDATE:万润苑改造
21,东一环北延线,My Company,SCBS:SCBS_GCMC_PROJECT_CANDIDATE:东一环北延线
22,城市花园等老旧小区改造,My Company,SCBS:SCBS_GCMC_PROJECT_CANDIDATE:城市花园等老旧小区改造
23,寿崴路,My Company,SCBS:SCBS_GCMC_PROJECT_CANDIDATE:寿崴路
24,天山路（黄河路-凯江路）改造项目,My Company,SCBS:SCBS_GCMC_PROJECT_CANDIDATE:天山路（黄河路-凯江路）改造项目
25,太行山路（钱塘江路-信江路）道路工程,My Company,SCBS:SCBS_GCMC_PROJECT_CANDIDATE:太行山路（钱塘江路-信江路）道路工程
26,宋家堰景观工程,My Company,SCBS:SCBS_GCMC_PROJECT_CANDIDATE:宋家堰景观工程
27,高地搅拌站,My Company,SCBS:SCBS_GCMC_PROJECT_CANDIDATE:高地搅拌站
28,汾河路（挂靠）,My Company,SCBS:SCBS_GCMC_PROJECT_CANDIDATE:汾河路（挂靠）
29,崴和路二标段,My Company,SCBS:SCBS_GCMC_PROJECT_CANDIDATE:崴和路二标段
30,旌阳区2025年老旧小区改造-包5,My Company,SCBS:SCBS_GCMC_PROJECT_CANDIDATE:旌阳区2025年老旧小区改造-包5
31,嘉陵江路库房,My Company,SCBS:SCBS_GCMC_PROJECT_CANDIDATE:嘉陵江路库房
32,德阳凹街办公室,My Company,SCBS:SCBS_GCMC_PROJECT_CANDIDATE:德阳凹街办公室
33,崴和路一标段,My Company,SCBS:SCBS_GCMC_PROJECT_CANDIDATE:崴和路一标段
34,成都市龙泉驿区同安中学校光环境改造项目,My Company,SCBS:SCBS_GCMC_PROJECT_CANDIDATE:成都市龙泉驿区同安中学校光环境改造项目
35,旌阳区2025年老旧小区改造-包1,My Company,SCBS:SCBS_GCMC_PROJECT_CANDIDATE:旌阳区2025年老旧小区改造-包1
36,成都市龙泉驿区人行道维修整治提升,My Company,SCBS:SCBS_GCMC_PROJECT_CANDIDATE:成都市龙泉驿区人行道维修整治提升
37,旌北新区（龙泉山路）雨水管网项目,My Company,SCBS:SCBS_GCMC_PROJECT_CANDIDATE:旌北新区（龙泉山路）雨水管网项目
38,柏隆粮油园区项目,My Company,SCBS:SCBS_GCMC_PROJECT_CANDIDATE:柏隆粮油园区项目
39,中江驾考校,My Company,SCBS:SCBS_GCMC_PROJECT_CANDIDATE:中江驾考校
40,蓥华山路道路工程-包2,My Company,SCBS:SCBS_GCMC_PROJECT_CANDIDATE:蓥华山路道路工程-包2
41,旌阳区供水项目(柏隆水厂及管网）,My Company,SCBS:SCBS_GCMC_PROJECT_CANDIDATE:旌阳区供水项目(柏隆水厂及管网）
