bucket,reason,model,model_label,action_name,menu,record_count,fields,unresolved_business_fields
covered_by_formal_entry_metadata_gate,metadata_only_and_gate_passed,project.project.stage,项目阶段,项目阶段,项目 / 配置 / 项目阶段,7,"source_created_at,source_created_by",
covered_by_source_scope_rule,source_model_does_not_carry_these_business_fields,sc.fund.account,资金账户,账户管理,智慧施工管理平台 / 财务中心 / 资金账户 / 账户管理,111,"source_created_at,source_created_by",
covered_by_formal_entry_metadata_gate,metadata_only_and_gate_passed,payment.request.line,Payment Request Line,付款申请明细,智慧施工管理平台 / 财务中心 / 收付款办理 / 付款申请明细,31883,"source_created_at,source_created_by",
covered_by_formal_entry_metadata_gate,metadata_only_and_gate_passed,sc.receipt.invoice.line,收款发票明细,收款发票台账,智慧施工管理平台 / 财务中心 / 发票台账 / 收款发票,4454,"source_created_at,source_created_by",
covered_by_settlement_contract_surface_gate,targeted_settlement_contract_surface_gate_passed,sc.settlement.order,结算单,结算单,智慧施工管理平台 / 财务中心 / 收付款办理 / 结算中心 / 结算单,2747,"contract_id,contract_subject,engineering_address,legacy_contract_no,planned_settlement_date,settlement_period_end,settlement_period_start",
covered_by_formal_entry_metadata_gate,metadata_only_and_gate_passed,project.cost.ledger,项目成本台账,成本台账,智慧施工管理平台 / 成本中心 / 成本台账,73068,"source_created_at,source_created_by",
covered_by_material_plan_visible_note_gate,targeted_material_plan_visible_note_gate_passed,project.material.plan,物资计划,物资计划,智慧施工管理平台 / 物资与分包 / 物资管理 / 材料计划,686,legacy_visible_10,
covered_by_formal_entry_metadata_gate,metadata_only_and_gate_passed,project.cost.code,项目成本科目,成本科目,智慧施工管理平台 / 基础设置 / 预算类型,13,"source_created_at,source_created_by",
covered_by_formal_entry_metadata_gate,metadata_only_and_gate_passed,sc.approval.policy,业务审批规则,审批规则,智慧施工管理平台 / 基础设置 / 审批配置,13,"source_created_at,source_created_by",
covered_by_formal_entry_metadata_gate,metadata_only_and_gate_passed,sc.approval.scope,审批岗位人员,审批岗位人员,智慧施工管理平台 / 基础设置 / 审批岗位人员,17,"source_created_at,source_created_by",
covered_by_construction_diary_visible_fields_gate,targeted_construction_diary_visible_fields_gate_passed,sc.construction.diary,施工日志,施工日志（新）,智慧施工管理平台 / 施工管理 / 施工日志,3233,"legacy_visible_07,legacy_visible_08",
covered_by_formal_entry_metadata_gate,metadata_only_and_gate_passed,sc.project.stage.requirement.item,项目阶段要求项,阶段要求配置,智慧施工管理平台 / 基础设置 / 阶段要求配置,6,"source_created_at,source_created_by",
covered_by_formal_entry_metadata_gate,metadata_only_and_gate_passed,sc.dashboard.cockpit.fact,驾驶舱业务事实,成本驾驶舱,智慧施工管理平台 / 智慧大屏 / 成本驾驶舱,7802,"source_created_at,source_created_by",
covered_by_formal_entry_metadata_gate,metadata_only_and_gate_passed,sc.dashboard.cockpit.fact,驾驶舱业务事实,成本大屏,智慧施工管理平台 / 智慧大屏 / 成本大屏,7802,"source_created_at,source_created_by",
covered_by_formal_entry_metadata_gate,metadata_only_and_gate_passed,tender.opening,开标登记,开标记录,智慧施工管理平台 / 项目中心 / 投标管理 / 开标记录,2828,"source_created_at,source_created_by",
covered_by_formal_entry_metadata_gate,metadata_only_and_gate_passed,sc.contract.event,合同履约事件,合同履约事件,智慧施工管理平台 / 合同中心 / 收入合同 / 合同履约事件,18,"source_created_at,source_created_by",
covered_by_formal_entry_metadata_gate,metadata_only_and_gate_passed,construction.contract.expense,支出合同,支出合同执行,智慧施工管理平台 / 合同中心 / 支出合同 / 支出合同执行,6821,"source_created_at,source_created_by",
covered_by_formal_entry_metadata_gate,metadata_only_and_gate_passed,sc.material.catalog,材料档案,材料档案,智慧施工管理平台 / 物资与分包 / 物资管理 / 材料档案,2288638,"source_created_at,source_created_by",
covered_by_material_rfq_source_coverage_gate,targeted_material_rfq_source_coverage_gate_passed,sc.material.rfq,材料询比价,询比价,智慧施工管理平台 / 物资与分包 / 物资管理 / 询比价,126,"due_date,purchase_request_id,source_material_plan_id",
covered_by_formal_entry_metadata_gate,metadata_only_and_gate_passed,sc.material.price,材料价格库,材料价格库,智慧施工管理平台 / 物资与分包 / 物资管理 / 材料价格库,512,"source_created_at,source_created_by",
