map_id,legacy_gcmc,suggested_state,match_method,fact_rows,amount_total,company,proposal,target_project_id,target_project_name
1,旌阳区供水项目——柏隆净水厂,project_candidate,fuzzy,1082,80565147.13,四川保盛建设集团有限公司,create_project_from_scbs_fact,,
2,高新产业园配套项目（包2）,project_candidate,none,715,53969657.86,四川保盛建设集团有限公司,create_project_from_scbs_fact,,
3,高新产业园配套项目（包3）,project_candidate,none,526,41693664.61,四川保盛建设集团有限公司,create_project_from_scbs_fact,,
4,三星堆环线基础设施改造,project_candidate,none,487,40570598.45,四川保盛建设集团有限公司,create_project_from_scbs_fact,,
6,二重厂西路等4条道路工程,project_candidate,fuzzy,678,30999034.82,四川保盛建设集团有限公司,create_project_from_scbs_fact,,
7,旌阳区供水项目——柏隆供水管网,project_candidate,fuzzy,426,24169122.39,四川保盛建设集团有限公司,create_project_from_scbs_fact,,
8,澜沧江西路（苗山街-蓥华山路）,project_candidate,none,441,16596414.15,四川保盛建设集团有限公司,create_project_from_scbs_fact,,
9,2024高标准农田建设项目-龙泉村,project_candidate,fuzzy,64,16353265.39,四川保盛建设集团有限公司,create_project_from_scbs_fact,,
10,龙泉山路二段(赣江路-信江路),project_candidate,none,334,13130246.22,四川保盛建设集团有限公司,create_project_from_scbs_fact,,
11,王谊村总平,project_candidate,none,289,12419100.08,四川保盛建设集团有限公司,create_project_from_scbs_fact,,
12,齐家堰流域（高槐村-桂花村）河段水生态修复项目,project_candidate,fuzzy,238,9888920.84,四川保盛建设集团有限公司,create_project_from_scbs_fact,,
13,玉山街道路工程,project_candidate,none,247,9145452.4,四川保盛建设集团有限公司,create_project_from_scbs_fact,,
14,崴和路滑坡整治工程,project_candidate,fuzzy,200,9132001.98,四川保盛建设集团有限公司,create_project_from_scbs_fact,,
15,德阳市烈士陵园建设项目,project_candidate,fuzzy,79,8950148.32,四川保盛建设集团有限公司,create_project_from_scbs_fact,,
16,孝感翠竹街西路改造,project_candidate,none,211,8521140.84,四川保盛建设集团有限公司,create_project_from_scbs_fact,,
17,面粉厂等小区改造项目,project_candidate,none,147,7902710.76,四川保盛建设集团有限公司,create_project_from_scbs_fact,,
18,烈士陵园装修项目,project_candidate,none,182,6976135.8,四川保盛建设集团有限公司,create_project_from_scbs_fact,,
19,凯江大回湾景区融合提升项目,project_candidate,none,161,6913481.86,四川保盛建设集团有限公司,create_project_from_scbs_fact,,
20,万润苑改造,project_candidate,fuzzy,309,5802418.95,四川保盛建设集团有限公司,create_project_from_scbs_fact,,
21,东一环北延线,project_candidate,none,104,5647174.24,四川保盛建设集团有限公司,create_project_from_scbs_fact,,
22,城市花园等老旧小区改造,project_candidate,none,259,3705782.55,四川保盛建设集团有限公司,create_project_from_scbs_fact,,
23,寿崴路,single_source_project_candidate,fuzzy,14,2488327.07,四川保盛建设集团有限公司,create_project_from_scbs_fact,,
24,天山路（黄河路-凯江路）改造项目,project_candidate,fuzzy,19,2480138.8,四川保盛建设集团有限公司,create_project_from_scbs_fact,,
25,太行山路（钱塘江路-信江路）道路工程,single_source_project_candidate,fuzzy,19,2218048.65,四川保盛建设集团有限公司,create_project_from_scbs_fact,,
27,宋家堰景观工程,project_candidate,fuzzy,173,2065380.89,四川保盛建设集团有限公司,create_project_from_scbs_fact,,
28,高地搅拌站,project_candidate,none,50,2007473.08,四川保盛建设集团有限公司,create_project_from_scbs_fact,,
29,汾河路（挂靠）,single_source_project_candidate,none,4,1953126.02,四川保盛建设集团有限公司,create_project_from_scbs_fact,,
30,崴和路二标段,single_source_project_candidate,none,13,1373912.52,四川保盛建设集团有限公司,create_project_from_scbs_fact,,
31,旌阳区2025年老旧小区改造-包5,project_candidate,fuzzy,27,1254941.22,四川保盛建设集团有限公司,create_project_from_scbs_fact,,
32,嘉陵江路库房,project_candidate,none,17,1228806.7,四川保盛建设集团有限公司,create_project_from_scbs_fact,,
33,德阳凹街办公室,single_source_project_candidate,none,51,964469.33,四川保盛建设集团有限公司,create_project_from_scbs_fact,,
34,崴和路一标段,single_source_project_candidate,none,10,781895.98,四川保盛建设集团有限公司,create_project_from_scbs_fact,,
35,成都市龙泉驿区同安中学校光环境改造项目,single_source_project_candidate,none,1,378072.0,四川保盛建设集团有限公司,create_project_from_scbs_fact,,
36,旌阳区2025年老旧小区改造-包1,project_candidate,fuzzy,22,206789.23,四川保盛建设集团有限公司,create_project_from_scbs_fact,,
37,成都市龙泉驿区人行道维修整治提升,single_source_project_candidate,none,6,174000.0,四川保盛建设集团有限公司,create_project_from_scbs_fact,,
38,旌北新区（龙泉山路）雨水管网项目,project_candidate,none,17,154450.94,四川保盛建设集团有限公司,create_project_from_scbs_fact,,
39,柏隆粮油园区项目,single_source_project_candidate,none,1,76296.58,四川保盛建设集团有限公司,create_project_from_scbs_fact,,
40,中江驾考校,single_source_project_candidate,none,6,35701.0,四川保盛建设集团有限公司,create_project_from_scbs_fact,,
41,蓥华山路道路工程-包2,single_source_project_candidate,none,6,33245.3,四川保盛建设集团有限公司,create_project_from_scbs_fact,,
42,旌阳区供水项目(柏隆水厂及管网）,single_source_project_candidate,fuzzy,1,18000.0,四川保盛建设集团有限公司,create_project_from_scbs_fact,,
