model,id,legacy_gcmc,name
sc.legacy.project.map,1,旌阳区供水项目——柏隆净水厂,旌阳区供水项目——柏隆净水厂
sc.legacy.project.map,2,高新产业园配套项目（包2）,高新产业园配套项目（包2）
sc.legacy.project.map,3,高新产业园配套项目（包3）,高新产业园配套项目（包3）
sc.legacy.project.map,4,三星堆环线基础设施改造,三星堆环线基础设施改造
sc.legacy.project.map,5,2023年高标准农田改造提升-东美村,2023年高标准农田改造提升-东美村
sc.legacy.project.map,6,二重厂西路等4条道路工程,二重厂西路等4条道路工程
sc.legacy.project.map,7,旌阳区供水项目——柏隆供水管网,旌阳区供水项目——柏隆供水管网
sc.legacy.project.map,8,澜沧江西路（苗山街-蓥华山路）,澜沧江西路（苗山街-蓥华山路）
sc.legacy.project.map,9,2024高标准农田建设项目-龙泉村,2024高标准农田建设项目-龙泉村
sc.legacy.project.map,10,龙泉山路二段(赣江路-信江路),龙泉山路二段(赣江路-信江路)
sc.legacy.project.map,11,王谊村总平,王谊村总平
sc.legacy.project.map,12,齐家堰流域（高槐村-桂花村）河段水生态修复项目,齐家堰流域（高槐村-桂花村）河段水生态修复项目
sc.legacy.project.map,13,玉山街道路工程,玉山街道路工程
sc.legacy.project.map,14,崴和路滑坡整治工程,崴和路滑坡整治工程
sc.legacy.project.map,15,德阳市烈士陵园建设项目,德阳市烈士陵园建设项目
sc.legacy.project.map,16,孝感翠竹街西路改造,孝感翠竹街西路改造
sc.legacy.project.map,17,面粉厂等小区改造项目,面粉厂等小区改造项目
sc.legacy.project.map,18,烈士陵园装修项目,烈士陵园装修项目
sc.legacy.project.map,19,凯江大回湾景区融合提升项目,凯江大回湾景区融合提升项目
sc.legacy.project.map,20,万润苑改造,万润苑改造
sc.legacy.project.map,21,东一环北延线,东一环北延线
sc.legacy.project.map,22,城市花园等老旧小区改造,城市花园等老旧小区改造
sc.legacy.project.map,23,寿崴路,寿崴路
sc.legacy.project.map,24,天山路（黄河路-凯江路）改造项目,天山路（黄河路-凯江路）改造项目
sc.legacy.project.map,25,太行山路（钱塘江路-信江路）道路工程,太行山路（钱塘江路-信江路）道路工程
sc.legacy.project.map,26,公司综合平台,公司综合平台
sc.legacy.project.map,27,宋家堰景观工程,宋家堰景观工程
sc.legacy.project.map,28,高地搅拌站,高地搅拌站
sc.legacy.project.map,29,汾河路（挂靠）,汾河路（挂靠）
sc.legacy.project.map,30,崴和路二标段,崴和路二标段
sc.legacy.project.map,31,旌阳区2025年老旧小区改造-包5,旌阳区2025年老旧小区改造-包5
sc.legacy.project.map,32,嘉陵江路库房,嘉陵江路库房
sc.legacy.project.map,33,德阳凹街办公室,德阳凹街办公室
sc.legacy.project.map,34,崴和路一标段,崴和路一标段
sc.legacy.project.map,35,成都市龙泉驿区同安中学校光环境改造项目,成都市龙泉驿区同安中学校光环境改造项目
sc.legacy.project.map,36,旌阳区2025年老旧小区改造-包1,旌阳区2025年老旧小区改造-包1
sc.legacy.project.map,37,成都市龙泉驿区人行道维修整治提升,成都市龙泉驿区人行道维修整治提升
sc.legacy.project.map,38,旌北新区（龙泉山路）雨水管网项目,旌北新区（龙泉山路）雨水管网项目
sc.legacy.project.map,39,柏隆粮油园区项目,柏隆粮油园区项目
sc.legacy.project.map,40,中江驾考校,中江驾考校
sc.legacy.project.map,41,蓥华山路道路工程-包2,蓥华山路道路工程-包2
sc.legacy.project.map,42,旌阳区供水项目(柏隆水厂及管网）,旌阳区供水项目(柏隆水厂及管网）
sc.legacy.project.map,43,一公司项目,一公司项目
