seq,group,name,capture_status,match,old_system_path,old_menu_name,old_link,config_id,config_type,main_table,from_table,order_info,visible_columns,hidden_columns,search_fields,add_config_id,show_add_config_id,alignment_note
1,基础资料,供应商/合作单位,captured,exact,项目/综合/供应商/合作单位,供应商/合作单位,LowCode/Form/FormList?ConfigId=164a6642d18a4be6bcf08115f09714da,164a6642d18a4be6bcf08115f09714da,List,T_Base_CooperatCompany,,pid desc,单据状态(DJZTText); 推送结果(TSJG); 项目名称(XMMC); 单位编号(DJBH); 合作类型(HZLX); 单位名称(DWMC); 开户银行(KHYH); 账号(KHZH); 统一社会信用代码(TYSHXYDM); 主税率(ZSLV); 录入人(LRR); 录入时间(LRSJ),单位简称(DWJC); 主供类型(ZGLX); 地区名称(DQMC); 详细地址(XXDZ); 注册资本(ZCZB); 经营范围(JYFW); 等级分类(DJFL); 营业期限-开始日期(YYQX_S); 营业期限-截止日期(YYQX_E); 营业期限是否永久；0：否，1：是(IsYYQXYJ); 排序编号(PXBH); 其他项目共享(QTXMGX); 信息来源(XXLY); 登记人(DJR); 登记日期(DJRQ); 备注(BZ); 业务联系人姓名(YWLXRXM); 手机号码(YWLXRHM); 邮箱(YWLXRYX); 法人姓名(FRXM); 手机号码(FRSJHM); 邮箱(FRYX); 备注(LXRBZ); 纳税人类别(NSRLB); 发票类型(FPLX); 税号(SH); 初始欠款(CSQK); 付款方式(FKFS); 备注(CSBZ); 工程专业类型(GCZYLX); 安许证号码(AXZHM); 许可证期限开始日期(XKZQX_S); 许可证期限截止日期(XKZQX_E); 代付单位(DFDW); 产品及品牌(CPJPP); 主要业绩(ZYYJ); 营业执照(FJ_YYZZ); 开户许可证(FJ_KHXKZ); 企业资质证书(FJ_QYZZZS); 生产许可证(FJ_SCXKZ); 法人身份证(FJ_FRSFZ); 代理人身份证(FJ_DLRSFZ); 其他资质(FJ_QTZZ); 评价状态；0：待评价，1：已评价(PJZT); 来源状态；0：录入，1：注册，2：链接，3：代开票，4：其他(LYZT),单位名称(DWMC/Data); 主供类型(ZGLXID/Data); 合作类型(HZLX/Data); 录入时间(LRSJ/Data),4cb6f6f45e2340e2b50bda60f21f3536,47df0b930e734bc3bfd81b24ad1c0c5b,lowcode_form_captured
2,基础资料,往来单位,captured,exact,项目/综合/往来单位,往来单位,LowCode/Form/FormList?ConfigId=6a04d6b9e23b4834aabc83efc34836ef,6a04d6b9e23b4834aabc83efc34836ef,List,T_Base_CooperatCompany,,pid desc,单据状态(DJZTText); 项目名称(XMMC); 单位名称(DWMC); 收款金额(SKJE); 付款金额(FKJE); 开户姓名(KHXM$T_Base_CooperatCompany_Account); 开户账号(KHZH$T_Base_CooperatCompany_Account); 开户银行(KHYH$T_Base_CooperatCompany_Account); 录入人(LRR); 录入时间(LRSJ); 银行账号(D_SCBSJS_YHZH),单位编号(DJBH); 单位简称(DWJC); 地区名称(DQMC); 详细地址(XXDZ); 统一社会信用代码(TYSHXYDM); 注册资本(ZCZB); 经营范围(JYFW); 合作类型(HZLX); 主供类型(ZGLX); 等级分类(DJFL); 营业期限-开始日期(YYQX_S); 营业期限-截止日期(YYQX_E); 营业期限是否永久；0：否，1：是(IsYYQXYJ); 排序编号(PXBH); 其他项目共享(QTXMGX); 信息来源(XXLY); 登记人(DJR); 登记日期(DJRQ); 备注(BZ); 业务联系人姓名(YWLXRXM); 手机号码(YWLXRHM); 邮箱(YWLXRYX); 法人姓名(FRXM); 手机号码(FRSJHM); 邮箱(FRYX); 备注(LXRBZ); 纳税人类别(NSRLB); 发票类型(FPLX); 主税率(ZSLV); 税号(SH); 初始欠款(CSQK); 付款方式(FKFS); 备注(CSBZ); 工程专业类型(GCZYLX); 安许证号码(AXZHM); 许可证期限开始日期(XKZQX_S); 许可证期限截止日期(XKZQX_E); 代付单位(DFDW); 产品及品牌(CPJPP); 主要业绩(ZYYJ); 营业执照(FJ_YYZZ); 开户许可证(FJ_KHXKZ); 企业资质证书(FJ_QYZZZS); 生产许可证(FJ_SCXKZ); 法人身份证(FJ_FRSFZ); 代理人身份证(FJ_DLRSFZ); 其他资质(FJ_QTZZ); 评价状态；0：待评价，1：已评价(PJZT); 来源状态；0：录入，1：注册，2：链接，3：代开票，4：其他(LYZT),单位名称(DWMC/Data); 项目名称(XMMC/Data); 单据编号(DJBH/Data),aa9d5330a84c4963aeb4d600488a9d79,10615ac410b14ecca8d29b58e4301504,lowcode_form_captured
3,合同,施工合同,captured,exact,项目/综合/施工合同/施工合同,施工合同,LowCode/Form/FormList?ConfigId=164b665cc3674384aeaa89f3122895cf,164b665cc3674384aeaa89f3122895cf,List,T_ProjectContract_Out,"T_ProjectContract_Out_CB,T_ProjectContract_Out_CB_BZJ",f_LRSJ desc,单据状态(DJZTText); 单据编号(DJBH); 合同订立日期(f_HTDLRQ); 原件是否归档(D_SCBSJS_SFGD); 发包人(FBF); 项目名称(f_XMMC); 合同标题(HTBT); 工程类别(HTLX); 合同编号(HTBH); 合同金额(GCYSZJ); 结算金额(D_SCBSJS_JSJE); 累计开票(LJKP); 累计收款(LJSK); 未收款(WSK); 未收款比例(WSKBL); 挂靠人(GKR); 工程地址(f_GCDZ); 工程内容(f_GCNR); 录入人(LRR); 录入时间(f_LRSJ); 附件(f_FJ),承包人(CBF); 建设单位(f_JSDW); 项目经理(f_XMJL); 变更金额(BGJE); 经营模式(f_GCXZ); 手机号码(f_SJHM); 电话号码(f_DHHM); 压证经理(f_YZXMJE); 合同公示日期(f_HTGSRQ); 合同归档日期(f_HTGDRQ); 工程立项批准文号(GCLXPZWH); 合同工期天数(f_THGQTS); 合同工期(f_HTGQ); 质量目标(f_ZLMB); 安全目标(f_AQMB); 合同价款(f_HTJK); 履约保证金(f_LYBZJ); 取费标准(f_QFBZ); 让利(f_RL); 预付款金额(f_YFKJE); 预付款扣回方式(f_YFKKHFS); 付款方式(f_FKFS); 工程进度款(f_GCJDK); 结算办理时限(f_JSBLSX); 结算后付款(f_JSHFK); 工程开工类别(f_GCKGLB); 工程开工日期(f_GCKGRQ); 工程竣工日期(JGRQ); 备注(f_BZ); 是否公示(f_SFGS); 录入人(f_LRR); 暂列金(f_ZLJ); 质保金(f_ZBJ); 甲方结算办理时限(f_JFJSBLSX); 外部合同编号(f_WBHTBH); LRRQ(LRRQ); XGRQ(XGRQ); SCR(SCR); SCRQ(SCRQ); GCQDFS(GCQDFS); XMZJJLXDH(XMZJJLXDH); XMJLJLXDH(XMJLJLXDH); GCJSZJ(GCJSZJ); JSTJ(JSTJ); KPSD(KPSD); ZBJBL(ZBJBL); 项目简称(f_XMJC); JSBLSX(JSBLSX); GCZT(GCZT); GCSKJD(GCSKJD); GCJZJD(GCJZJD); jdysbj(jdysbj); GCLJYSK_1(GCLJYSK_1); GCLJYSK_2(GCLJYSK_2); GCQK(GCQK); GCLJKPJE(GCLJKPJE); GCBGJL(GCBGJL); GCZDSXJL(GCZDSXJL); GCCBFW(GCCBFW); ZJLY(ZJLY); AQWMSGF(AQWMSGF); CLHGCSBZGJJE(CLHGCSBZGJJE); ZYGCZGJJE(ZYGCZGJJE); ZLJE(ZLJE); HTJGXS(HTJGXS); QDDD(QDDD); 区别新旧外部合同表(LX); SFGLGXZT(SFGLGXZT); GL_SQL(GL_SQL); 总分包合同(ZFBHT); 是否手动编码（复选框）(SFSDBM); ZBQ(ZBQ); HTYDFKFS(HTYDFKFS); JLYZ(JLYZ); JKTZFS(JKTZFS); 管理费比例(GLFBL); 缴税比例(JSBL); 扣税比例(KSBL); 扣减残保金比例(KJCBJBL); 是否上传到时代档案服务器，0：未上传，1：已上传(IsUpload); UploadTime(UploadTime); 预付款(YFK); 质量保证金(ZLBZJ); 预付款比列(YFKBL); 外部合同编号(WBHTBH); GQSM(GQSM); ZBSJ(ZBSJ); 客户大类(KHDL); GCJSDW(GCJSDW); GCJLDWMC(GCJLDWMC); 农民工保证金(NMGBZJ); NMGBZJDX(NMGBZJDX); 付款比例(FKBL); 质量保证金比例(ZLBZJBL); 项目说明(XMSS); 项目别名(XMBM); 合同类型（主合同、补充合同）(HTLX_1); 关联原合同名称(GLYHTMC); 行政-合同移交时间(XZ_HTYJSJ); 行政-合同移交份数(XZ_HTYJFS); 行政-合同移交人(XZ_HTYJR); 行政-合同接受人(XZ_HTJSR); 行政-合同移交备注(XZ_HTYJBZ); 发票税率(D_XXJZ_FPSLV); 附件(f_FJ); 录入时间(LRSJ); 签约合同价（补充）(D_SCBSJS_QYHTJ),发包人(FBF/Data); 项目名称(f_XMMC/Data); 签订时间(f_HTDLRQ/Data); 合同编号(HTBH/Data); 承包人(GKR1/Data); 工程类别(HTLX/Data); 合同标题(HTBT/Data); 是否归档(D_SCBSJS_SFGD/Data),2660bca0e05b4c488dc6fea105e5cd2b,dd4e9820aabb4c3289d57616c8a10c17,lowcode_form_captured
4,办公资料,公司资料存档,captured,exact,项目/施工/施工资料/公司资料存档,公司资料存档,LowCode/Form/FormList?ConfigId=bc29a73e0fb04ec0b28820a48b71f928,bc29a73e0fb04ec0b28820a48b71f928,List,SGZL_RZRJ,SGZL_RZRJ_CB,Pid desc,单据状态(DJZTText); 项目名称(f_GCMC); 资料类型(ZLMC$SGZL_RZRJ_CB); 资料说明(ZLSM$SGZL_RZRJ_CB); 录入人(LRR); 备注(BZ); 录入时间(LRSJ),f_JSDW(f_JSDW); f_XMJL(f_XMJL); 上传时间(f_SJ); f_SM(f_SM); f_LRSJ(f_LRSJ); f_LRR(f_LRR); JE(JE); DJLX(DJLX); TYPE(TYPE); ZLMC(ZLMC); DJBH(DJBH); 类别(LB); 上传人(JBR); 附件(f_FJ),"项目名称(f_XMID/TextData); 资料类型(SGZL_RZRJ_CB,ZLMC/Data); 日期(f_SJ/Data); 录入人(LRR/Data)",456500485abc478dbed4833631ff7d95,70e94447ac3a4cf595007e693fd20ad4,lowcode_form_captured
5,人事行政,请假/休假审批单,captured,exact,办公/行政/行政单/请假/休假审批单,请假/休假审批单,LowCode/Form/FormList?ConfigId=64cf93d039844656a51a1ae97efc985f,64cf93d039844656a51a1ae97efc985f,List,BGGL_HBZJ_XZD_QJXJSPB,,pid desc,单据状态(DJZTText); 单据编号(DJBH); 项目名称(XMMC); 申请人姓名(SQRXM); 所在部门(SZBM); 请假天数(QJTS); 请假类型(QJLX); 请假时间(QJSJ); 销假时间(XJSJ); 备注(BZ); 请假时长(QJSC); 录入人(LRR); 录入时间(LRSJ),附件(f_FJ),录入时间(LRSJ/Data); 申请人姓名(SQRXM/Data); 请假时间(QJSJ/Data); (DJBH/Data),da4bc12ade6c44c3a4963c041159fc08,cf6c70a567cf4971b8621d234367c6c1,lowcode_form_captured
6,人事行政,印章使用审批表,captured,exact,办公/行政/行政单/印章使用审批表,印章使用审批表,LowCode/Form/FormList?ConfigId=6125bb6b25014e8fa4ad8592b335823c,6125bb6b25014e8fa4ad8592b335823c,List,BGGL_XZD_YZSYSPB,,Pid desc,单据状态(DJZTText); 单据编号(DJBH); 用印时间(YYSJ); 用印部门(YYBM); 用印申请人(YYSQR); 用印部门负责人签字(YYBMFZRQZ); 用印种类(YYZL); 用印文本名称及文号(YYWBMCJWH); 经办人签字(JBRQZ); 领导签字(LDQZ); 份数(FS); 备注(BZ); 归还时间(GHSJ); 合同金额(HTJE); 合同编号(HTBH); 所属公司(SSGS); 使用印章公司(D_JCLY_SYYZGS); 是否外带(D_JCLY_SFWD); 附件(f_FJ); 录入人(LRR); 录入时间(LRSJ),项目名称(XMMC); JBRQZSJ(JBRQZSJ); LDQZSJ(LDQZSJ); GZWJNBGY(GZWJNBGY); BT(BT); SYLX(SYLX),单据编号(DJBH/Data); 用印种类(YYZL/Data); 用印时间(YYSJ/Data),37debb7b890949968968317f41aaac81,11e9770524da4fcbae1db7ff592e1d5b,lowcode_form_captured
7,组织人员,组织机构,custom_or_non_lowcode_link,exact,办公/人事/组织/组织机构,组织机构,Organization/Department/DepartmentList,,,,,,,,,,,custom_page_requires_separate_runtime_probe
8,组织人员,公司人员名册（配置）,captured,exact,办公/人事/人事/公司人员名册（配置）,公司人员名册（配置）,LowCode/Form/FormList?ConfigId=7c0f74c092344e31ad517c7f1e445267,7c0f74c092344e31ad517c7f1e445267,List,BASE_SYSTEM_USER,,ORDER_NUM ASC,操作(PERSON_NAME); 姓名(PERSON_NAME); 用户名(USERNAME); 部门(BM); 职务(ZW); 岗位(GW); 电话号码(PHONE_NUMBER); 性别(SEX); 账号类型(ZHLX); 是否测试账号(SFCSZH); 证件类型(ZJLX); 证件号(ZJH); 居住地址(JZDZ); 是否购买社保(SFGMSB); 是否购买社保(ORDER_NUM); 员工工号(YGGH); 出生日期(CSRQ); 政治面貌(ZZMM); 民族(MZ); 籍贯(JG); 毕业院校(BYYX); 毕业时间(BYSJ); 所学专业(SXZY); 学历(XL); 入职日期(RZRQ); 人员类型(RYLX); 录入人(LRR); 录入时间(LRSJ),,姓名(PERSON_NAME/Data); 部门/职务/岗位(KeyValue/Data); 人员状态(DEL/Data); 电话号码(PHONE_NUMBER/Data),1aa7b8f3fac642cca00c50b89de14a19,6b795a0fa10a4ede920c918595d3a688,lowcode_form_captured
9,人事行政,社保人员登记,captured,exact,办公/人事/社保/社保人员登记,社保人员登记,LowCode/Form/FormList?ConfigId=1500c6c0d29a4ee3a3fa9b7cd72010f2,1500c6c0d29a4ee3a3fa9b7cd72010f2,List,D_SCBSJS_BGGL_XZ_SBRY,,PID desc,单据编号(DJBH); 单据日期(DJRQ); 姓名(XM); 人员类型(RYLX); 身份证号码(SFZHM); 联系方式(LXFS); 证书费用(ZSFY); 个人证书(GRZS); 社保基数(SBJS); 社保购买单位(ZS); 人员状态(RYZT); 备注(BZ); 录入人(LRR); 录入时间(LRSJ),单据状态(DJZTText); 项目名称(XMMC); 标题(BT); 年龄(NL); 附件(f_FJ),姓名(XM/Data); 社保购买单位(ZS/Data); 人员类型(RYLXID/Data); 单据编号(DJBH/Data); 人员状态(RYZT/Data),073baf1c9ea24a50b27b08f397db1826,7c346dd52a4c425c96554d19d8901ba3,lowcode_form_captured
10,人事行政,社保登记,captured,exact,办公/人事/社保/社保登记,社保登记,LowCode/Form/FormList?ConfigId=85fbd6ab11b14dcf8df3606e0fda15d2,85fbd6ab11b14dcf8df3606e0fda15d2,List,BGGL_XZ_JXDJ_ZB,BGGL_XZ_JXDJ,Pid desc,单据状态(DJZTText); 单据编号(DJBH); 社保购买单位(SSGS$BGGL_XZ_JXDJ); 姓名(RY$BGGL_XZ_JXDJ); 类型(D_SCBSJS_RYLX$BGGL_XZ_JXDJ); 购买人数(D_SCBSJS_GMRS); 年度(ND); 月份(YF); 缴费金额(JXGZ$BGGL_XZ_JXDJ); 联系方式(D_SCBSJS_LXFS$BGGL_XZ_JXDJ); 备注(JL$BGGL_XZ_JXDJ); 登记人(LRR); 登记时间(LRSJ),社保购买单位 (KHCJ$BGGL_XZ_JXDJ); 标题(BT); 附件(f_FJ); XMMC(XMMC),"年份(ND/Data); 月份(YF/Data); 人员类型(BGGL_XZ_JXDJ,D_SCBSJS_RYLX/Data); 姓名(BGGL_XZ_JXDJ,RY/Data); 社保购买单位(BGGL_XZ_JXDJ,SSGS/Data); 登记时间(LRSJ/Data); 登记人(LRR/Data)",7e72038cd19846a3ac252fe2ea52cb1f,00d2b009b23d4d31b3b10b2719ab5bc6,lowcode_form_captured
